                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.48924,                0.29194,                0.87253,                0.94188,                0.95105,                0.97468,                0.76859,                0.87112,                0.36236,                0.95173,               0.002674,               0.002674,               0.002674
                    113,                0.48206,                0.28997,                0.87024,                0.94193,                0.95111,                0.97467,                0.76874,                0.87011,                0.36205,                0.95141,               0.002608,               0.002608,               0.002608
                    114,                0.48615,                 0.2893,                0.87037,                0.94212,                0.95111,                0.97457,                0.76927,                0.86928,                 0.3619,                0.95112,               0.002542,               0.002542,               0.002542
                    115,                0.48596,                0.28925,                0.87132,                 0.9418,                0.95048,                0.97449,                   0.77,                0.86802,                0.36156,                0.95097,               0.002476,               0.002476,               0.002476
                    116,                0.48198,                0.28765,                0.87236,                0.94377,                0.95043,                  0.974,                0.77048,                0.86729,                0.36084,                0.95076,                0.00241,                0.00241,                0.00241
                    117,                0.47948,                0.28505,                   0.87,                0.94379,                0.95043,                 0.9742,                0.77049,                 0.8663,                0.36096,                0.95052,               0.002344,               0.002344,               0.002344
                    118,                0.47819,                0.28587,                0.87075,                  0.944,                0.95051,                 0.9742,                0.77165,                0.86546,                0.36022,                0.95017,               0.002278,               0.002278,               0.002278
                    119,                0.47571,                0.28265,                0.86799,                0.94513,                0.95043,                0.97429,                 0.7717,                0.86463,                 0.3599,                0.94986,               0.002212,               0.002212,               0.002212
                    120,                0.47523,                 0.2813,                0.86805,                 0.9457,                0.95043,                0.97445,                0.77222,                0.86447,                0.35924,                0.94975,               0.002146,               0.002146,               0.002146
                    121,                0.47096,                 0.2789,                0.86752,                0.94585,                0.95043,                0.97445,                0.77264,                0.86362,                0.35838,                0.94956,                0.00208,                0.00208,                0.00208
                    122,                0.47367,                0.27863,                0.86645,                0.94346,                0.95043,                0.97445,                0.77291,                 0.8628,                0.35856,                0.94948,               0.002014,               0.002014,               0.002014
